Test,Flow,GFuzz,GFuzzHB,GFuzzHBFlow,GoCR,GoCRHB
Scenarios/TestL01_LeakUnbuffered_WithPartner,1.45446,1.41907,1.39041,1.43625,13.69436,10.47682
Scenarios/TestL02_LeakUnbuffered_WithoutPartner,1.46012,1.49043,1.47324,1.4542,1.42095,1.51318
Scenarios/TestL03_LeakBuffered_WithPartner,1.4306,1.51912,1.55731,1.44016,11.39968,11.47715
Scenarios/TestL04_LeakBuffered_WithoutPartner,1.47902,1.5407,1.45673,1.4455,1.46956,1.44848
Scenarios/TestL05_LeakNilChannel,1.45223,1.47081,1.45878,1.40711,1.49033,1.4304
Scenarios/TestL06_LeakSelect_WithPartner,1.42371,1.43695,1.41373,1.41589,11.28666,11.08843
Scenarios/TestL07_LeakSelect_WithoutPartner,1.40566,1.42322,1.43019,1.44046,1.40347,1.43353
Scenarios/TestL08_LeakMutex,1.42474,1.43021,1.44394,1.4088,1.46868,1.41891
Scenarios/TestL09_LeakWaitGroup,1.3896,1.45106,1.38242,1.37978,1.37135,1.37057
Scenarios/TestL10_LeakCond,1.41593,1.42446,1.44387,1.43141,1.37508,1.3836
Scenarios/TestL11_LeakContext,1.50037,1.47451,1.39407,1.51006,1.76594,1.65922
Scenarios/TestP01_PossibleSendOnClosed,1.91538,1.72655,1.81001,1.72897,12.61482,11.39191
Scenarios/TestP02_PossibleRecvOnClosed,3.0937,1.41945,3.1254,3.08303,16.18996,12.30644
Scenarios/TestP03_PossibleNegativeWaitGroup,1.46172,1.39773,1.40104,1.3958,11.16567,11.1105
Scenarios/TestP04_PossibleUnlockNotLockedMutex,1.43132,1.40463,1.38808,1.39355,12.8745,12.84111
Scenarios/TestP05_PossibleCyclicDeadlock,21.42565,1.35596,21.37758,21.38706,21.41426,41.39218
SelectBlock/Test_Select_Buffered_SendBlocksOnFullBuffer_WithPartner,1.46611,1.5238,1.49941,1.5203,1.54597,1.53105
SelectBlock/Test_Select_Leak_OnContextDone,1.46361,1.54378,1.50381,1.46841,1.4853,1.51964
SelectBlock/Test_Select_Leak_WithPartner_Send,1.79582,1.65458,1.77996,1.83816,1.85854,1.82086
SelectBlock/Test_Select_Leak_WithoutPartner_Send,1.78177,2.14443,1.81201,1.86431,1.89454,1.69917
WaitGroups/Test_WG_A05_NegativeCounter,1.74926,1.62079,1.69121,1.83204,1.75706,1.78768
WaitGroups/Test_WG_L09_WaitBlocksForever,1.90068,1.79779,1.77813,1.85542,1.90083,1.5712
WaitGroups/Test_WG_Leak_WorkerNeverDone_BlockedOnChan,1.93836,1.67166,1.79898,1.87625,1.94004,1.9811
WaitGroups/Test_WG_Possible_AddAfterWait,1.99725,1.82851,1.84002,1.82541,10.15317,13.07304
